DISTRICTNAME,schoolname,gr_kg,gr_01,gr_02,gr_03,gr_04,gr_05,gr_06,tot_01_06,tot_07_12,tot_kg_12,free_meal_elg,red_meal_elg,free_red_meals,lep_srv
Minneapolis Public School District,DeLaSalle High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.0,693.0,0.0,159.0,159.0,0.0
Minneapolis Public School District,Annunciation,22.0,36.0,35.0,40.0,34.0,40.0,45.0,230.0,93.0,345.0,0.0,14.0,14.0,0.0
Minneapolis Public School District,Ascension Catholic School,34.0,34.0,29.0,36.0,32.0,32.0,41.0,204.0,75.0,313.0,0.0,255.0,255.0,41.0
Minneapolis Public School District,Blake School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.0,526.0,0.0,0.0,0.0,0.0
Minneapolis Public School District,Risen Christ,36.0,35.0,37.0,34.0,29.0,39.0,26.0,200.0,56.0,292.0,0.0,260.0,260.0,201.0
Minneapolis Public School District,Lake Country School,31.0,25.0,28.0,28.0,26.0,22.0,29.0,158.0,51.0,240.0,0.0,0.0,0.0,0.0
Minneapolis Public School District,Minnehaha Academy - Upper School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,357.0,0.0,23.0,23.0,0.0
Minneapolis Public School District,St. Helena Catholic School,11.0,5.0,11.0,15.0,13.0,14.0,10.0,68.0,30.0,109.0,0.0,56.0,56.0,33.0
Minneapolis Public School District,Trinity First Lutheran School,20.0,14.0,17.0,13.0,7.0,14.0,11.0,76.0,17.0,113.0,0.0,79.0,79.0,0.0
Minneapolis Public School District,Carondelet Catholic School,25.0,42.0,30.0,44.0,44.0,66.0,44.0,270.0,89.0,384.0,0.0,2.0,2.0,0.0
Minneapolis Public School District,St. John Paul II Catholic School,20.0,29.0,22.0,20.0,19.0,23.0,24.0,137.0,39.0,196.0,0.0,138.0,138.0,141.0
Minneapolis Public School District,Our Lady of Peace,15.0,19.0,17.0,22.0,21.0,20.0,28.0,127.0,35.0,177.0,0.0,24.0,24.0,0.0
Minneapolis Public School District,Minnehaha Academy Middle & Lower Schools,45.0,44.0,36.0,59.0,44.0,50.0,54.0,287.0,146.0,478.0,0.0,32.0,32.0,0.0
Minneapolis Public School District,City of Lakes Waldorf School,52.0,10.0,24.0,20.0,29.0,17.0,26.0,126.0,42.0,220.0,0.0,24.0,24.0,0.0
Minneapolis Public School District,Hope Academy,49.0,56.0,52.0,57.0,52.0,47.0,50.0,314.0,258.0,621.0,0.0,443.0,443.0,110.0
Minneapolis Public School District,Cristo Rey Jesuit High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,413.0,0.0,270.0,270.0,0.0
Minneapolis Public School District,Gaia Democratic School,0.0,1.0,3.0,2.0,0.0,2.0,3.0,11.0,22.0,33.0,0.0,27.0,27.0,0.0
McGregor Public School District,Minisinaakwaang Leadership Academy,0.0,2.0,1.0,1.0,3.0,1.0,4.0,12.0,14.0,26.0,0.0,0.0,0.0,0.0
South St. Paul Public School Dist,Holy Trinity,13.0,9.0,9.0,9.0,12.0,10.0,9.0,58.0,20.0,91.0,0.0,16.0,16.0,0.0
Anoka-Hennepin School District,Cross of Christ Lutheran,18.0,17.0,10.0,12.0,8.0,6.0,8.0,61.0,18.0,97.0,0.0,0.0,0.0,0.0
Anoka-Hennepin School District,Epiphany Catholic School,27.0,40.0,36.0,37.0,39.0,36.0,28.0,216.0,45.0,288.0,0.0,54.0,54.0,0.0
Anoka-Hennepin School District,Legacy Christian Academy,75.0,63.0,65.0,50.0,50.0,51.0,51.0,330.0,342.0,747.0,0.0,6.0,6.0,0.0
Anoka-Hennepin School District,St. Stephen’s Catholic School,44.0,35.0,35.0,42.0,39.0,34.0,33.0,218.0,59.0,321.0,0.0,32.0,32.0,0.0
Anoka-Hennepin School District,Northside Christian (Blaine Campus),13.0,9.0,10.0,11.0,14.0,9.0,12.0,65.0,17.0,95.0,0.0,6.0,6.0,0.0
